Epoch: [0][1340/3706], lr: 0.00100	Time 0.678 (0.672)	Data 0.000 (0.007)	Loss 1.8538 (2.2244)	Prec@1 43.750 (35.717)	Prec@5 78.125 (67.655)
Epoch: [0][1360/3706], lr: 0.00100	Time 0.666 (0.672)	Data 0.000 (0.007)	Loss 2.1847 (2.2186)	Prec@1 34.375 (35.872)	Prec@5 75.000 (67.802)
Epoch: [0][1380/3706], lr: 0.00100	Time 0.670 (0.671)	Data 0.000 (0.007)	Loss 2.1088 (2.2116)	Prec@1 37.500 (36.034)	Prec@5 71.875 (67.999)
Epoch: [0][1400/3706], lr: 0.00100	Time 0.670 (0.671)	Data 0.000 (0.007)	Loss 1.8617 (2.2045)	Prec@1 46.875 (36.235)	Prec@5 71.875 (68.188)
Epoch: [0][1420/3706], lr: 0.00100	Time 0.676 (0.671)	Data 0.000 (0.007)	Loss 1.1247 (2.1951)	Prec@1 65.625 (36.491)	Prec@5 96.875 (68.385)
Epoch: [0][1440/3706], lr: 0.00100	Time 0.659 (0.671)	Data 0.000 (0.007)	Loss 1.8783 (2.1884)	Prec@1 43.750 (36.665)	Prec@5 71.875 (68.548)
Epoch: [0][1460/3706], lr: 0.00100	Time 0.709 (0.670)	Data 0.000 (0.007)	Loss 1.8980 (2.1812)	Prec@1 40.625 (36.882)	Prec@5 78.125 (68.731)
Epoch: [0][1480/3706], lr: 0.00100	Time 0.653 (0.670)	Data 0.000 (0.007)	Loss 1.6359 (2.1735)	Prec@1 53.125 (37.070)	Prec@5 81.250 (68.919)
Epoch: [0][1500/3706], lr: 0.00100	Time 0.607 (0.670)	Data 0.000 (0.007)	Loss 1.5253 (2.1661)	Prec@1 46.875 (37.296)	Prec@5 87.500 (69.104)
Epoch: [0][1520/3706], lr: 0.00100	Time 0.607 (0.670)	Data 0.000 (0.007)	Loss 1.3258 (2.1573)	Prec@1 59.375 (37.539)	Prec@5 81.250 (69.299)
Epoch: [0][1540/3706], lr: 0.00100	Time 0.610 (0.670)	Data 0.000 (0.007)	Loss 1.9215 (2.1508)	Prec@1 50.000 (37.727)	Prec@5 75.000 (69.454)
Epoch: [0][1560/3706], lr: 0.00100	Time 0.655 (0.669)	Data 0.000 (0.006)	Loss 1.5923 (2.1432)	Prec@1 56.250 (37.900)	Prec@5 87.500 (69.643)
Epoch: [0][1580/3706], lr: 0.00100	Time 0.654 (0.669)	Data 0.000 (0.006)	Loss 1.3710 (2.1365)	Prec@1 56.250 (38.073)	Prec@5 84.375 (69.809)
Epoch: [0][1600/3706], lr: 0.00100	Time 0.606 (0.669)	Data 0.000 (0.006)	Loss 1.5897 (2.1295)	Prec@1 53.125 (38.259)	Prec@5 78.125 (69.962)
Epoch: [0][1620/3706], lr: 0.00100	Time 0.664 (0.669)	Data 0.000 (0.006)	Loss 1.9595 (2.1231)	Prec@1 46.875 (38.445)	Prec@5 75.000 (70.140)
Epoch: [0][1640/3706], lr: 0.00100	Time 0.688 (0.669)	Data 0.000 (0.006)	Loss 1.6446 (2.1170)	Prec@1 50.000 (38.639)	Prec@5 75.000 (70.281)
Epoch: [0][1660/3706], lr: 0.00100	Time 0.640 (0.669)	Data 0.000 (0.006)	Loss 1.5572 (2.1111)	Prec@1 46.875 (38.811)	Prec@5 87.500 (70.400)
Epoch: [0][1680/3706], lr: 0.00100	Time 0.666 (0.669)	Data 0.000 (0.006)	Loss 1.8582 (2.1055)	Prec@1 37.500 (38.995)	Prec@5 78.125 (70.516)
Epoch: [0][1700/3706], lr: 0.00100	Time 0.607 (0.668)	Data 0.000 (0.006)	Loss 1.3481 (2.0990)	Prec@1 53.125 (39.205)	Prec@5 96.875 (70.670)
Epoch: [0][1720/3706], lr: 0.00100	Time 0.607 (0.668)	Data 0.000 (0.006)	Loss 1.8990 (2.0932)	Prec@1 50.000 (39.354)	Prec@5 78.125 (70.813)
Epoch: [0][1740/3706], lr: 0.00100	Time 0.655 (0.668)	Data 0.000 (0.006)	Loss 1.6352 (2.0872)	Prec@1 56.250 (39.532)	Prec@5 78.125 (70.951)
Epoch: [0][1760/3706], lr: 0.00100	Time 0.614 (0.668)	Data 0.000 (0.006)	Loss 2.0014 (2.0823)	Prec@1 43.750 (39.681)	Prec@5 81.250 (71.076)
Epoch: [0][1780/3706], lr: 0.00100	Time 0.603 (0.668)	Data 0.000 (0.006)	Loss 1.8089 (2.0767)	Prec@1 43.750 (39.806)	Prec@5 71.875 (71.187)
Epoch: [0][1800/3706], lr: 0.00100	Time 0.610 (0.668)	Data 0.000 (0.006)	Loss 0.8812 (2.0695)	Prec@1 62.500 (40.004)	Prec@5 96.875 (71.348)
Epoch: [0][1820/3706], lr: 0.00100	Time 0.638 (0.667)	Data 0.000 (0.006)	Loss 1.4473 (2.0637)	Prec@1 53.125 (40.141)	Prec@5 84.375 (71.485)
Epoch: [0][1840/3706], lr: 0.00100	Time 0.650 (0.667)	Data 0.000 (0.005)	Loss 1.5054 (2.0572)	Prec@1 56.250 (40.319)	Prec@5 75.000 (71.620)
Epoch: [0][1860/3706], lr: 0.00100	Time 0.699 (0.667)	Data 0.000 (0.005)	Loss 1.7300 (2.0531)	Prec@1 59.375 (40.434)	Prec@5 84.375 (71.736)
Epoch: [0][1880/3706], lr: 0.00100	Time 0.650 (0.667)	Data 0.000 (0.005)	Loss 1.8149 (2.0466)	Prec@1 46.875 (40.582)	Prec@5 78.125 (71.875)
Epoch: [0][1900/3706], lr: 0.00100	Time 0.652 (0.667)	Data 0.000 (0.005)	Loss 1.2791 (2.0405)	Prec@1 59.375 (40.750)	Prec@5 87.500 (72.010)
Epoch: [0][1920/3706], lr: 0.00100	Time 0.640 (0.667)	Data 0.000 (0.005)	Loss 1.5189 (2.0354)	Prec@1 50.000 (40.903)	Prec@5 87.500 (72.135)
Epoch: [0][1940/3706], lr: 0.00100	Time 0.655 (0.667)	Data 0.000 (0.005)	Loss 1.4035 (2.0297)	Prec@1 65.625 (41.060)	Prec@5 90.625 (72.263)
Epoch: [0][1960/3706], lr: 0.00100	Time 0.692 (0.666)	Data 0.000 (0.005)	Loss 1.8791 (2.0232)	Prec@1 62.500 (41.216)	Prec@5 75.000 (72.391)
Epoch: [0][1980/3706], lr: 0.00100	Time 0.605 (0.666)	Data 0.000 (0.005)	Loss 1.3831 (2.0178)	Prec@1 68.750 (41.362)	Prec@5 78.125 (72.519)
Epoch: [0][2000/3706], lr: 0.00100	Time 0.656 (0.666)	Data 0.000 (0.005)	Loss 1.6586 (2.0131)	Prec@1 53.125 (41.487)	Prec@5 81.250 (72.604)
Epoch: [0][2020/3706], lr: 0.00100	Time 0.651 (0.666)	Data 0.000 (0.005)	Loss 1.3952 (2.0069)	Prec@1 50.000 (41.650)	Prec@5 84.375 (72.732)
Epoch: [0][2040/3706], lr: 0.00100	Time 0.611 (0.666)	Data 0.000 (0.005)	Loss 1.6720 (2.0026)	Prec@1 59.375 (41.773)	Prec@5 78.125 (72.843)
Epoch: [0][2060/3706], lr: 0.00100	Time 0.659 (0.666)	Data 0.000 (0.005)	Loss 1.4453 (1.9979)	Prec@1 59.375 (41.911)	Prec@5 78.125 (72.941)
Epoch: [0][2080/3706], lr: 0.00100	Time 0.656 (0.666)	Data 0.000 (0.005)	Loss 1.5886 (1.9929)	Prec@1 62.500 (42.059)	Prec@5 90.625 (73.057)
Epoch: [0][2100/3706], lr: 0.00100	Time 0.612 (0.666)	Data 0.000 (0.005)	Loss 1.8908 (1.9887)	Prec@1 50.000 (42.176)	Prec@5 68.750 (73.135)
Epoch: [0][2120/3706], lr: 0.00100	Time 0.616 (0.666)	Data 0.000 (0.005)	Loss 1.5325 (1.9847)	Prec@1 62.500 (42.281)	Prec@5 78.125 (73.216)
Epoch: [0][2140/3706], lr: 0.00100	Time 0.609 (0.665)	Data 0.000 (0.005)	Loss 1.8553 (1.9807)	Prec@1 56.250 (42.412)	Prec@5 75.000 (73.286)
Epoch: [0][2160/3706], lr: 0.00100	Time 0.638 (0.665)	Data 0.001 (0.005)	Loss 1.6657 (1.9753)	Prec@1 46.875 (42.537)	Prec@5 78.125 (73.408)
Epoch: [0][2180/3706], lr: 0.00100	Time 0.656 (0.665)	Data 0.000 (0.005)	Loss 1.5925 (1.9711)	Prec@1 56.250 (42.634)	Prec@5 75.000 (73.503)
Epoch: [0][2200/3706], lr: 0.00100	Time 0.616 (0.665)	Data 0.000 (0.005)	Loss 1.3002 (1.9667)	Prec@1 46.875 (42.775)	Prec@5 87.500 (73.611)
Epoch: [0][2220/3706], lr: 0.00100	Time 0.648 (0.665)	Data 0.000 (0.005)	Loss 1.6385 (1.9634)	Prec@1 53.125 (42.866)	Prec@5 75.000 (73.680)
Epoch: [0][2240/3706], lr: 0.00100	Time 0.611 (0.665)	Data 0.000 (0.005)	Loss 1.3586 (1.9596)	Prec@1 65.625 (42.958)	Prec@5 84.375 (73.766)
Epoch: [0][2260/3706], lr: 0.00100	Time 0.647 (0.665)	Data 0.000 (0.005)	Loss 1.4319 (1.9556)	Prec@1 62.500 (43.070)	Prec@5 78.125 (73.850)
Epoch: [0][2280/3706], lr: 0.00100	Time 0.604 (0.665)	Data 0.000 (0.004)	Loss 1.2039 (1.9498)	Prec@1 65.625 (43.250)	Prec@5 93.750 (73.972)
Epoch: [0][2300/3706], lr: 0.00100	Time 0.633 (0.665)	Data 0.000 (0.004)	Loss 1.5732 (1.9458)	Prec@1 53.125 (43.360)	Prec@5 87.500 (74.057)
Epoch: [0][2320/3706], lr: 0.00100	Time 0.603 (0.665)	Data 0.000 (0.004)	Loss 1.3058 (1.9422)	Prec@1 62.500 (43.463)	Prec@5 87.500 (74.122)
Epoch: [0][2340/3706], lr: 0.00100	Time 0.610 (0.665)	Data 0.000 (0.004)	Loss 1.6192 (1.9382)	Prec@1 56.250 (43.578)	Prec@5 81.250 (74.214)
Epoch: [0][2360/3706], lr: 0.00100	Time 0.653 (0.665)	Data 0.000 (0.004)	Loss 1.2562 (1.9338)	Prec@1 53.125 (43.672)	Prec@5 87.500 (74.314)
Epoch: [0][2380/3706], lr: 0.00100	Time 0.679 (0.665)	Data 0.000 (0.004)	Loss 1.2560 (1.9302)	Prec@1 56.250 (43.778)	Prec@5 90.625 (74.386)
Epoch: [0][2400/3706], lr: 0.00100	Time 0.673 (0.664)	Data 0.000 (0.004)	Loss 1.0730 (1.9272)	Prec@1 65.625 (43.865)	Prec@5 93.750 (74.449)
Epoch: [0][2420/3706], lr: 0.00100	Time 0.673 (0.664)	Data 0.000 (0.004)	Loss 0.8828 (1.9231)	Prec@1 71.875 (43.978)	Prec@5 93.750 (74.537)
Epoch: [0][2440/3706], lr: 0.00100	Time 0.713 (0.664)	Data 0.000 (0.004)	Loss 1.4747 (1.9208)	Prec@1 56.250 (44.061)	Prec@5 90.625 (74.595)
Epoch: [0][2460/3706], lr: 0.00100	Time 0.656 (0.664)	Data 0.000 (0.004)	Loss 1.2862 (1.9166)	Prec@1 56.250 (44.172)	Prec@5 93.750 (74.662)
Epoch: [0][2480/3706], lr: 0.00100	Time 0.612 (0.664)	Data 0.000 (0.004)	Loss 1.6262 (1.9117)	Prec@1 43.750 (44.314)	Prec@5 84.375 (74.766)
Epoch: [0][2500/3706], lr: 0.00100	Time 0.607 (0.664)	Data 0.000 (0.004)	Loss 1.3116 (1.9078)	Prec@1 78.125 (44.441)	Prec@5 87.500 (74.838)
Epoch: [0][2520/3706], lr: 0.00100	Time 0.706 (0.664)	Data 0.000 (0.004)	Loss 1.5260 (1.9042)	Prec@1 62.500 (44.552)	Prec@5 84.375 (74.923)
Epoch: [0][2540/3706], lr: 0.00100	Time 0.663 (0.664)	Data 0.000 (0.004)	Loss 1.3106 (1.9008)	Prec@1 59.375 (44.654)	Prec@5 87.500 (74.989)
Epoch: [0][2560/3706], lr: 0.00100	Time 0.608 (0.664)	Data 0.000 (0.004)	Loss 1.1740 (1.8971)	Prec@1 62.500 (44.753)	Prec@5 84.375 (75.067)
Epoch: [0][2580/3706], lr: 0.00100	Time 0.653 (0.664)	Data 0.000 (0.004)	Loss 1.5976 (1.8933)	Prec@1 59.375 (44.869)	Prec@5 75.000 (75.132)
Epoch: [0][2600/3706], lr: 0.00100	Time 0.640 (0.664)	Data 0.000 (0.004)	Loss 1.6690 (1.8897)	Prec@1 50.000 (44.980)	Prec@5 81.250 (75.210)
Epoch: [0][2620/3706], lr: 0.00100	Time 0.651 (0.664)	Data 0.000 (0.004)	Loss 1.1976 (1.8854)	Prec@1 59.375 (45.093)	Prec@5 96.875 (75.308)
Epoch: [0][2640/3706], lr: 0.00100	Time 0.658 (0.664)	Data 0.000 (0.004)	Loss 1.4746 (1.8800)	Prec@1 59.375 (45.252)	Prec@5 78.125 (75.400)
Epoch: [0][2660/3706], lr: 0.00100	Time 0.607 (0.664)	Data 0.000 (0.004)	Loss 1.6085 (1.8768)	Prec@1 53.125 (45.333)	Prec@5 87.500 (75.462)
Epoch: [0][2680/3706], lr: 0.00100	Time 0.609 (0.664)	Data 0.000 (0.004)	Loss 1.3607 (1.8733)	Prec@1 62.500 (45.428)	Prec@5 90.625 (75.530)
Epoch: [0][2700/3706], lr: 0.00100	Time 0.660 (0.664)	Data 0.000 (0.004)	Loss 1.3807 (1.8697)	Prec@1 53.125 (45.547)	Prec@5 87.500 (75.589)
Epoch: [0][2720/3706], lr: 0.00100	Time 0.656 (0.663)	Data 0.000 (0.004)	Loss 2.0749 (1.8663)	Prec@1 50.000 (45.655)	Prec@5 65.625 (75.652)
Epoch: [0][2740/3706], lr: 0.00100	Time 0.607 (0.663)	Data 0.000 (0.004)	Loss 1.7112 (1.8629)	Prec@1 56.250 (45.747)	Prec@5 78.125 (75.714)
Epoch: [0][2760/3706], lr: 0.00100	Time 0.710 (0.663)	Data 0.000 (0.004)	Loss 1.5706 (1.8601)	Prec@1 56.250 (45.824)	Prec@5 84.375 (75.769)
Epoch: [0][2780/3706], lr: 0.00100	Time 0.663 (0.663)	Data 0.000 (0.004)	Loss 1.6588 (1.8573)	Prec@1 50.000 (45.903)	Prec@5 84.375 (75.824)
